model_name,threshold,val_roc_auc,val_accuracy,val_precision_1,val_recall_1,val_f1_1
xgboost_model_333,0.24,0.954658428536287,0.9503475006682706,0.5862389586238959,0.6790522347872914,0.6292415169660679
xgboost_model_333,0.39,0.954658428536287,0.9569967923015237,0.6765799256505576,0.5880452342487884,0.6292134831460674
xgboost_model_297,0.29,0.9560097216368826,0.9515838011226945,0.5995121951219512,0.66182014001077,0.6291272075761454
xgboost_model_157,0.26,0.9556351425755221,0.95028067361668,0.585614849187935,0.6795907377490576,0.6291126620139581
xgboost_model_325,0.26,0.9556351425755221,0.95028067361668,0.585614849187935,0.6795907377490576,0.6291126620139581
xgboost_model_153,0.39,0.9558447714136361,0.9569299652499331,0.6755253399258344,0.5885837372105547,0.6290647482014389
xgboost_model_329,0.39,0.9552148489846513,0.9569299652499331,0.6755253399258344,0.5885837372105547,0.6290647482014389
xgboost_model_309,0.35,0.9556797252723674,0.9551924619085806,0.6467576791808873,0.6122778675282714,0.629045643153527
xgboost_model_285,0.35,0.9557868273362604,0.9554263565891473,0.6503737780333525,0.6090468497576736,0.6290322580645161
xgboost_model_277,0.26,0.9558810667933398,0.9501804330392943,0.5846438482886216,0.6806677436725902,0.629012192087584
xgboost_model_77,0.26,0.9558810667933398,0.9501804330392943,0.5846438482886216,0.6806677436725902,0.629012192087584
xgboost_model_329,0.25,0.9552148489846513,0.950414327719861,0.5870275314979001,0.6774367259019924,0.629
xgboost_model_285,0.37,0.9557868273362604,0.9563953488372093,0.6662650602409639,0.5955842757135165,0.6289451236849588
xgboost_model_273,0.28,0.9562108521382056,0.9515838011226945,0.599609375,0.6612816370490038,0.6289372599231754
xgboost_model_298,0.67,0.9556946021576529,0.9536220261962042,0.6245353159851301,0.6332794830371568,0.6288770053475936
xgboost_model_273,0.25,0.9562108521382056,0.9497126436781609,0.5800727934485896,0.6865912762520194,0.6288532675709001
xgboost_model_137,0.33,0.9558721560090522,0.9543237102379043,0.6341730558598029,0.6235864297253635,0.6288351887048602
xgboost_model_305,0.32,0.9557262646968712,0.9534549585672281,0.6223628691983122,0.6354334948842219,0.6288302691180389
xgboost_model_149,0.36,0.9555064589565727,0.955660251269714,0.6542491268917345,0.6052773290253096,0.6288111888111888
xgboost_model_333,0.21,0.954658428536287,0.9482424485431703,0.5664939550949913,0.7065158858373721,0.6288042175892643
xgboost_model_137,0.28,0.9558721560090522,0.9513164929163326,0.5967117988394585,0.6645126548196015,0.6287898089171975
xgboost_model_73,0.25,0.9557303028456173,0.9493785084202085,0.5768884892086331,0.6908992999461497,0.6287674589561382
xgboost_model_157,0.39,0.9556351425755221,0.9570302058273189,0.6776602364654636,0.5864297253634895,0.6287528868360277
xgboost_model_325,0.39,0.9556351425755221,0.9570302058273189,0.6776602364654636,0.5864297253634895,0.6287528868360277
xgboost_model_261,0.28,0.9560419500924333,0.9511828388131516,0.595283926852743,0.6661281637049004,0.6287166454891995
xgboost_model_333,0.4,0.954658428536287,0.9573309275594761,0.6833122629582806,0.5821217016693592,0.62867112532713
xgboost_model_277,0.25,0.9558810667933398,0.9495121625233894,0.5782097649186256,0.6887452880990845,0.6286556893585648
xgboost_model_77,0.25,0.9558810667933398,0.9495121625233894,0.5782097649186256,0.6887452880990845,0.6286556893585648
xgboost_model_333,0.32,0.954658428536287,0.9540898155573376,0.6310363537710255,0.626278944534195,0.6286486486486487
xgboost_model_297,0.3,0.9560097216368826,0.9521518310612136,0.6063031515757878,0.6526655896607432,0.6286307053941909
xgboost_model_333,0.33,0.954658428536287,0.954557604918471,0.6376731301939058,0.6198169089929995,0.628618241398143
xgboost_model_149,0.33,0.9555064589565727,0.9541232290831329,0.6315217391304347,0.6257404415724287,0.6286177982147687
xgboost_model_137,0.31,0.9558721560090522,0.9532544774124566,0.6198952879581152,0.6375875067312871,0.6286169365542872
xgboost_model_305,0.3,0.9557262646968712,0.9523857257417803,0.6090909090909091,0.6494345718901454,0.6286161063330727
xgboost_model_305,0.33,0.9557262646968712,0.9539561614541566,0.6292498650836481,0.6278944534194938,0.6285714285714286
xgboost_model_329,0.4,0.9552148489846513,0.9572975140336808,0.6828806064434618,0.5821217016693592,0.6284883720930232
xgboost_model_261,0.27,0.9560419500924333,0.950414327719861,0.5872718764623304,0.6758212170166936,0.628442663995994
xgboost_model_137,0.32,0.9558721560090522,0.95372226677359,0.6262032085561497,0.6305869682283253,0.6283874429836329
xgboost_model_137,0.25,0.9558721560090522,0.9492114407912323,0.5754590237348858,0.6919763058696823,0.628361858190709
xgboost_model_297,0.27,0.9560097216368826,0.9501470195134991,0.5846082522021326,0.6790522347872914,0.6283009466865969
xgboost_model_149,0.27,0.9555064589565727,0.9503809141940658,0.5869971936389149,0.6758212170166936,0.6282853566958698
xgboost_model_142,0.64,0.9556900364597831,0.9525527933707565,0.6113092205807438,0.6462035541195477,0.6282722513089005
xgboost_model_314,0.64,0.9556900364597831,0.9525527933707565,0.6113092205807438,0.6462035541195477,0.6282722513089005
xgboost_model_261,0.25,0.9560419500924333,0.9491780272654371,0.5752014324082364,0.6919763058696823,0.6282082620386213
